CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location,name_clean,zip_clean,address_raw_ins,address_clean_ins,yelp_id,name,rating,review_count,price,categories,address1,city,state,postal_code,latitude,longitude,url,address_raw_yelp,address_clean_yelp,name_clean_ins,address_clean,name_clean_yelp
50173837,SAN WEI,Manhattan,89,EAST   42 STREET,10017,9178594095,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.75209393,-73.97760435,105.0,4.0,9200.0,1035381.0,1012800001.0,MN19,POINT (-73.977604354379 40.752093933162),SAN WEI,10017,89 EAST   42 STREET,89 EAST 42 STREET,-Q0HTFIJ1aZekdPbY1QrRQ,San Wei,4.7,12,,"Bubble Tea, Chinese, Pop-Up Restaurants",89 E 42nd St,New York,NY,10017,40.752652,-73.977349,https://www.yelp.com/biz/san-wei-new-york-2?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,89 E 42nd St,89 E 42ND ST,,,
50175486,LIMUSINA,Manhattan,441,9 AVENUE,10001,9176350576,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.75375114,-73.99604773,104.0,3.0,11100.0,1012860.0,1007327501.0,MN13,POINT (-73.996047728584 40.753751141047),LIMUSINA,10001,441 9 AVENUE,441 9 AVENUE,zKL2HWfbkPvntdlO9aIECg,Limusina,4.5,33,,"Mexican, Cocktail Bars",441 9th Ave,New York,NY,10001,40.753917,-73.996519,https://www.yelp.com/biz/limusina-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,441 9th Ave,441 9TH AVE,,,
50155794,CRAVE FISHBAR,Manhattan,1462,2 AVENUE,10075,5165031242,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.77161949,-73.95628946,108.0,5.0,13400.0,1045162.0,1014510004.0,MN31,POINT (-73.956289460929 40.771619493888),CRAVE FISHBAR,10075,1462 2 AVENUE,1462 2 AVENUE,xU_oFVF8_fkREwX6ThkWjw,Crave Fishbar,4.4,27,,"Seafood, Cocktail Bars, Sushi Bars",1462 2nd Ave,New York,NY,10075,40.77157905045342,-73.95601104944944,https://www.yelp.com/biz/crave-fishbar-new-york-9?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,1462 2nd Ave,1462 2ND AVE,,,
50113410,THE MARY LANE,Manhattan,99,BANK STREET,10014,2125979099,American,5/4/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10.0,A,5/4/2023,11/26/2025,Cycle Inspection / Initial Inspection,40.73645079,-74.00650241,102.0,3.0,7900.0,1011368.0,1006240001.0,MN23,POINT (-74.006502408016 40.736450789832),THE MARY LANE,10014,99 BANK STREET,99 BANK STREET,aK32R1M7WFHMz8k8wuztiQ,The Mary Lane,4.5,138,,New American,99 Bank St,New York,NY,10014,40.73654,-74.00639,https://www.yelp.com/biz/the-mary-lane-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,99 Bank St,99 BANK ST,,,
50115872,HI-COLLAR,Manhattan,231,EAST    9 STREET,10003,2127777018,Japanese,10/28/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,21.0,B,10/28/2024,11/26/2025,Cycle Inspection / Re-inspection,40.72961316,-73.98823048,103.0,2.0,4000.0,1006802.0,1004650058.0,MN22,POINT (-73.988230482697 40.729613161309),HI COLLAR,10003,231 EAST    9 STREET,231 EAST 9 STREET,7rxg-tWPc1jK7Cikn5R86g,Hi-Collar,4.0,964,$$,"Japanese, Coffee & Tea, Bars",231 E 9th St,New York,NY,10003,40.729564,-73.98786,https://www.yelp.com/biz/hi-collar-new-york-2?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,231 E 9th St,231 E 9TH ST,,,
50140747,KING WOK,Manhattan,222,VARICK STREET,10014,2126758989,Chinese,10/20/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,14.0,B,10/20/2025,11/26/2025,Cycle Inspection / Re-inspection,40.72902352,-74.00524608,102.0,3.0,6700.0,1080059.0,1005280052.0,MN23,POINT (-74.005246084032 40.729023520555),KING WOK,10014,222 VARICK STREET,222 VARICK STREET,QBhHq4eN7rtFzmDUciVL-Q,King Wok,3.4,189,$,Chinese,222 Varick St,New York,NY,10014,40.72904,-74.0050399,https://www.yelp.com/biz/king-wok-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,222 Varick St,222 VARICK ST,,,
50159792,LOCANDA VERDE,Manhattan,20,HUDSON BLVD EAST,10001,7869424021,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.75493694,-74.00066775,104.0,3.0,9900.0,1090274.0,1007050039.0,MN13,POINT (-74.000667747286 40.754936943427),LOCANDA VERDE,10001,20 HUDSON BLVD EAST,20 HUDSON BLVD EAST,qwgLrsefMv3HCspzThGd1g,Locanda Verde,4.0,37,,"Italian, Desserts, Breakfast & Brunch",50 Hudson Yards,New York,NY,10001,40.75493742530303,-74.00045130029837,https://www.yelp.com/biz/locanda-verde-new-york-5?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,50 Hudson Yards,50 HUDSON YARDS,,,
50133109,TIN BUILDING BY JEAN GEORGES,Manhattan,96,SOUTH STREET,10038,6467624749,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.70637378,-74.00288184,101.0,1.0,1501.0,1000000.0,1000730011.0,MN25,POINT (-74.002881837307 40.706373778571),TIN BUILDING BY JEAN GEORGES,10038,96 SOUTH STREET,96 SOUTH STREET,G9b640a2fZs7s6Q-cWPkiQ,Tin Building by Jean-Georges,4.2,231,,"Grocery, Food Court, Public Markets",96 S St,New York,NY,10038,40.70620006254629,-74.00226642004867,https://www.yelp.com/biz/tin-building-by-jean-georges-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,96 S St,96 S ST,,,
50176258,BABBO,Manhattan,110,WAVERLY PLACE,10011,0,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.73246283,-73.99915207,102.0,1.0,6500.0,1008889.0,1005520053.0,MN23,POINT (-73.999152067659 40.732462828253),BABBO,10011,110 WAVERLY PLACE,110 WAVERLY PLACE,-hUvO0C0A-pGZdiSKvjoFw,Babbo,3.8,2714,$$$$,"Italian, Wine Bars",110 Waverly Pl,New York,NY,10011,40.732304,-73.999279,https://www.yelp.com/biz/babbo-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,110 Waverly Pl,110 WAVERLY PL,,,
50173775,LIN & DAUGHTERS,Manhattan,55,WEST   26 STREET,10010,5166735686,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.74458884,-73.9908984,105.0,3.0,5800.0,1015632.0,1008280001.0,MN13,POINT (-73.9908983996 40.744588835621),LIN DAUGHTERS,10010,55 WEST   26 STREET,55 WEST 26 STREET,XXzfCImkzzU85Gl3O38THg,Lin & Daughters,5.0,6,,"Noodles, Chinese, Bubble Tea",55 W 26th St,New York,NY,10010,40.74468355150053,-73.9908534326635,https://www.yelp.com/biz/lin-and-daughters-new-york-2?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,55 W 26th St,55 W 26TH ST,,,
40365942,HOP KEE,Manhattan,21,MOTT STREET,10013,2129648365,Chinese,9/23/2022,Establishment re-opened by DOHMH.,,,Not Applicable,0.0,C,9/23/2022,11/26/2025,Cycle Inspection / Reopening Inspection,40.71436383,-73.99878436,103.0,1.0,2900.0,1001821.0,1001640045.0,MN27,POINT (-73.998784360399 40.71436383248),HOP KEE,10013,21 MOTT STREET,21 MOTT STREET,EFihj7vsRRXiF5la-UURyw,Hop Kee,3.7,1001,$$,"Seafood, Cantonese",21 Mott St,New York,NY,10013,40.714458,-73.998889,https://www.yelp.com/biz/hop-kee-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,21 Mott St,21 MOTT ST,,,
50007039,Cafe Maud,Manhattan,1640,2 AVENUE,10028,9296303420,American,2/6/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12.0,A,2/6/2023,11/26/2025,Cycle Inspection / Re-inspection,40.77728576,-73.95215513,108.0,5.0,14601.0,1049985.0,1015480001.0,MN32,POINT (-73.952155130566 40.777285764692),CAFE MAUD,10028,1640 2 AVENUE,1640 2 AVENUE,ItnfgGJW_bqQ0X8UVuUvUg,Cafe Maud,3.8,27,,"Cafes, Breakfast & Brunch, Pizza",1640 2nd Ave,New York,NY,10028,40.777229,-73.951962,https://www.yelp.com/biz/cafe-maud-new-york-2?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,1640 2nd Ave,1640 2ND AVE,,,
50106579,THAI HOT BOX,Manhattan,1598,3 AVENUE,10128,9174091641,Thai,5/19/2025,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,40.0,,,11/26/2025,Cycle Inspection / Initial Inspection,40.78118062,-73.9522787,108.0,5.0,14802.0,1048125.0,1015180038.0,MN40,POINT (-73.952278701714 40.781180622161),THAI HOT BOX,10128,1598 3 AVENUE,1598 3 AVENUE,uVoFnGvcwk2wSNwATtuf8g,Thai Hot Box,4.4,151,$$,Thai,1598 3rd Ave,New York,NY,10128,40.78123,-73.95246,https://www.yelp.com/biz/thai-hot-box-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,1598 3rd Ave,1598 3RD AVE,,,
50166327,WABI NORI,Manhattan,115,ESSEX STREET,10002,9176895663,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.71931475,-73.98781744,103.0,1.0,1800.0,1005334.0,1004100055.0,MN27,POINT (-73.987817444879 40.719314753759),WABI NORI,10002,115 ESSEX STREET,115 ESSEX STREET,yQkx2bmnMXRuzmZtsPFEhg,Wabi Nori,4.4,103,,"Japanese, Cocktail Bars, Sushi Bars",115 Essex St,New York,NY,10002,40.719542,-73.988011,https://www.yelp.com/biz/wabi-nori-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,115 Essex St,115 ESSEX ST,,,
50168228,MANGETSU SUSHI,Manhattan,150,MANHATTAN AVENUE,10025,6464204804,,1/1/1900,,,,Not Applicable,,,,11/26/2025,,40.79916755,-73.96108229,107.0,7.0,19300.0,1055664.0,1018420047.0,MN09,POINT (-73.961082290033 40.799167553085),MANGETSU SUSHI,10025,150 MANHATTAN AVENUE,150 MANHATTAN AVENUE,Z1IAFx5rx34sbpwbEWM-BQ,Mangetsu Sushi,5.0,3,,"Sushi Bars, Seafood, Asian Fusion",150 Manhattan Ave,New York,NY,10025,40.799069,-73.960957,https://www.yelp.com/biz/mangetsu-sushi-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,150 Manhattan Ave,150 MANHATTAN AVE,,,
41585567,PAPPARDELLA,Manhattan,316,COLUMBUS AVENUE,10023,2125957996,Italian,1/16/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,15.0,,,11/26/2025,Cycle Inspection / Initial Inspection,40.77922034,-73.97747965,107.0,6.0,16100.0,1030111.0,1011467501.0,MN12,POINT (-73.977479651186 40.779220343889),PAPPARDELLA,10023,316 COLUMBUS AVENUE,316 COLUMBUS AVENUE,E2zKMwHhz4--dyplQ7gf8A,Pappardella,3.7,855,$$,"Italian, Gluten-Free, Wine Bars",316 Columbus Ave,New York,NY,10023,40.77940129780038,-73.97750031523518,https://www.yelp.com/biz/pappardella-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,316 Columbus Ave,316 COLUMBUS AVE,,,
50125902,REX,Manhattan,864,10 AVENUE,10019,6465100943,Coffee/Tea,11/21/2024,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,11/26/2025,Administrative Miscellaneous / Initial Inspection,40.76884408,-73.98873978,104.0,6.0,13900.0,1026876.0,1010660064.0,MN15,POINT (-73.988739781731 40.768844081943),REX,10019,864 10 AVENUE,864 10 AVENUE,lwfrB59lvpkCBw2FZD3X6w,Rex,4.3,679,$$,"Coffee & Tea, Sandwiches, Bakeries",864 10th Ave,New York,NY,10019,40.768818,-73.988525,https://www.yelp.com/biz/rex-new-york-2?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,864 10th Ave,864 10TH AVE,,,
50109518,TAQUERIA SANTA FE,Manhattan,2248,1 AVENUE,10029,6468961006,Mexican,9/20/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,9/20/2023,11/26/2025,Cycle Inspection / Re-inspection,40.79564833,-73.93565104,111.0,8.0,17800.0,1053065.0,1017090048.0,MN34,POINT (-73.93565103655 40.795648327737),TAQUERIA SANTA FE,10029,2248 1 AVENUE,2248 1 AVENUE,csqCqu6G8pUIoyuwsFnkxQ,Taqueria Santa Fe ,4.6,39,$$,"Mexican, Food Delivery Services",2248 1st Ave,New York,NY,10029,40.79561,-73.93548,https://www.yelp.com/biz/taqueria-santa-fe-new-york-7?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,2248 1st Ave,2248 1ST AVE,,,
50160510,TRAMWAY DINER,Manhattan,1079,1 AVENUE,10022,3477218424,American,11/20/2024,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,33.0,N,,11/26/2025,Pre-permit (Operational) / Initial Inspection,40.75946502,-73.96208741,106.0,5.0,10800.0,1040053.0,1013510030.0,MN19,POINT (-73.962087413094 40.75946502496),TRAMWAY DINER,10022,1079 1 AVENUE,1079 1 AVENUE,GlrcoRE6wqaHFwU6BDNDqg,Tramway Diner,4.5,17,,"Diners, Breakfast & Brunch",1079 1st Ave,New York,NY,10022,40.759636,-73.962345,https://www.yelp.com/biz/tramway-diner-new-york-3?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,1079 1st Ave,1079 1ST AVE,,,
50093629,THE EXPAT,Manhattan,195,CLAREMONT AVENUE,10027,6464102922,Asian/Asian Fusion,10/24/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,35.0,,,11/26/2025,Cycle Inspection / Initial Inspection,40.81514709,-73.95999993,109.0,7.0,21100.0,1059875.0,1019940072.0,MN09,POINT (-73.959999930741 40.815147094565),THE EXPAT,10027,195 CLAREMONT AVENUE,195 CLAREMONT AVENUE,SLD513aTy53UMk4wQP8Wcg,The Expat,3.8,177,$$,"Gastropubs, Pan Asian",64 Tiemann Pl,New York,NY,10027,40.81551,-73.96008,https://www.yelp.com/biz/the-expat-new-york-2?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,64 Tiemann Pl,64 TIEMANN PL,,,
50113114,SUSHI 456,Manhattan,456,HUDSON STREET,10014,9174090606,Japanese,7/23/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,28.0,,,11/26/2025,Cycle Inspection / Initial Inspection,40.73142512,-74.00664985,102.0,3.0,6700.0,1077816.0,1005847501.0,MN23,POINT (-74.006649850535 40.731425117469),SUSHI 456,10014,456 HUDSON STREET,456 HUDSON STREET,KUQC0yJiwVRnxCYuF9IGfw,Sushi 456,4.6,73,,Sushi Bars,456 Hudson St,New York,NY,10014,40.7313524,-74.0065048,https://www.yelp.com/biz/sushi-456-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,456 Hudson St,456 HUDSON ST,,,
50126175,WOK CITY,Manhattan,153,AMSTERDAM AVENUE,10023,2124969714,Chinese,6/25/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,11.0,A,6/25/2024,11/26/2025,Cycle Inspection / Initial Inspection,40.77521686,-73.98410637,107.0,6.0,15300.0,1028848.0,1011380061.0,MN14,POINT (-73.984106366524 40.775216856242),WOK CITY,10023,153 AMSTERDAM AVENUE,153 AMSTERDAM AVENUE,ybQV8joopvU1_gG2RwLRog,Wok City,3.2,120,$,Chinese,153 Amsterdam Ave,New York,NY,10023,40.7752417820046,-73.983876645396,https://www.yelp.com/biz/wok-city-new-york?adjust_creative=ElJf80pvFQN3oIhAdagrmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ElJf80pvFQN3oIhAdagrmQ,153 Amsterdam Ave,153 AMSTERDAM AVE,,,
